,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
119,08-10-20,0.0,374238166.56524044,0.0,374238166.56524044,0.0,374238166.56524044,374238166.56524044,1245.9486371331282,1924126.9878909849
120,09-10-20,125877969.2550081,34869519.97775854,125877969.2550081,104608559.93327563,125877969.2550081,104608559.93327563,230486529.18828374,1160.4778667939997,374879.30819507665
121,10-10-20,0.0,2256412.584430384,0.0,241958326.55755523,0.0,13538475.506582305,13538475.506582305,0.8923485587292158,1443370.0151309064
122,11-10-20,0.0,10167467.1181199,0.0,30028957.12435542,0.0,20334934.2362398,20334934.2362398,0.874005249194403,672351.4746579351
123,12-10-20,0.0,59140431.609926976,0.0,118280863.21985395,0.0,118280863.21985395,118280863.21985395,366.3759529750553,113057.23982220032
124,13-10-20,23051429.42437487,31973887.3968895,23051429.42437487,168279040.5079025,23051429.42437487,159869436.9844475,182920866.4088224,2236.3955633991304,1559599.3495575117
125,14-10-20,79482279.1595149,4498566.269418602,79482279.1595149,105034109.4504655,79482279.1595149,17994265.077674408,97476544.23718931,1390.1459186103068,587064.9055673515
126,15-10-20,16970784.610788886,16496341.816081058,16970784.610788886,108525083.43417604,16970784.610788886,65985367.26432423,82956151.87511311,1051.5674213604934,751358.8410658562
127,16-10-20,231102884.52716544,48286616.84624434,320080441.6391002,48286616.84624434,462205769.0543309,48286616.84624434,510492385.9005752,1912.0296887084733,16942364.30292814
128,17-10-20,120757357.62368281,0.0,197850882.87064952,0.0,241514715.24736562,0.0,241514715.24736562,1833.477614784767,518334.19165739923
129,19-10-20,23250503.0994265,10346295.549634172,23250503.0994265,238778980.86179814,23250503.0994265,31038886.648902517,54289389.74832901,333.5756530528413,880734.8833426207
130,20-10-20,258793319.68711698,8630322.675936915,258793319.68711698,436809380.8459648,258793319.68711698,25890968.027810745,284684287.71492773,1543.2656820714062,3096194.701989487
131,21-10-20,103819552.33519971,29134078.341036867,183027681.43694785,29134078.341036867,207639104.67039943,29134078.341036867,236773183.01143628,732.633547812915,1162687.983392972
132,23-10-20,0.0,4265540.49835613,0.0,301723657.7537772,0.0,17062161.99342452,17062161.99342452,1329.8358564686964,1405985.2160177117
133,25-10-20,0.0,7611905.473559317,0.0,38770382.12056022,0.0,22835716.420677952,22835716.420677952,1004.4641410100849,583395.154277369
134,26-10-20,36419489.68337738,201477445.7674188,36419489.68337738,402954891.5348376,36419489.68337738,402954891.5348376,439374381.218215,1743.8938233425235,11211060.57443712
135,27-10-20,0.0,94448646.17865174,0.0,94448646.17865174,0.0,94448646.17865174,94448646.17865174,1549.4469454563846,3606640.0686280066
136,28-10-20,0.0,12704922.695702547,0.0,859861311.4849355,0.0,38114768.08710764,38114768.08710764,1284.538549591376,1275869.7392111293
137,29-10-20,29312885.5641282,31368700.053791303,52893229.95573176,62737400.10758261,87938656.6923846,62737400.10758261,150676056.7999672,371.46012465204694,1136034.3927805761
138,30-10-20,0.0,243630538.6444688,0.0,487261077.2889376,0.0,487261077.2889376,487261077.2889376,1451.2258480513065,6129622.1388082905
139,31-10-20,13628260.199195184,31113205.817394115,13628260.199195184,31113205.817394115,13628260.199195184,31113205.817394115,44741466.0165893,1107.146194942353,466935.1488298791
140,01-11-20,0.0,10121766.4984443,0.0,66885774.02828724,0.0,20243532.9968886,20243532.9968886,1196.741822733863,318844.8246470758
